,SUPERFICIE_VETRATA_OPACA,ALTEZZA_EDIFICIO,DEGREE_DAYS,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_SERRAMENTO,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_BASAMENTO,SUPERFICIE_NETTA,VOLUME_NETTO,NEW_CODE_PROVINCIA,SUPERFICIE_OPACA,ANNO_CODE,NUMERO_GENERATORI,ETH,CLASSE_ENERGETICA
838467,0.1312,3.43,2259.0,0.252,1.7185,0.2714,0.254,206.75,558.24,1.0003,488.9408,1.0005,2,44.347,2
838548,0.1159,3.83,2404.0,0.2687,1.2941,0.2149,0.216,1294.29,3431.98,1.0002,2797.1811,1.0005,1,22.8569,2
838747,0.1037,4.48,2521.0,0.258,1.4661,0.1783,0.209,117.9,346.56,1.0007,395.7483,1.0005,1,60.2134,2
838888,0.0828,4.34,2447.0,0.1886,1.4712,0.21,0.12,249.0,687.83,1.0002,732.7872,1.0005,1,24.5099,2
839126,0.1323,4.7,2404.0,0.1983,1.6869,0.1756,0.1872,599.45,1854.43,1.0002,1444.0777,1.0005,2,49.9194,2
839154,0.0743,4.27,2404.0,0.2976,1.7411,0.2432,0.2653,432.85,1332.45,1.0005,1093.3037,1.0005,1,30.1968,2
839249,0.1116,3.36,2549.0,0.253,1.287,0.2,0.215,95.34,257.42,1.0002,229.7084,1.0005,1,34.9021,2
839558,0.0811,5.05,2628.0,0.2592,1.1802,0.2324,0.262,208.25,659.19,1.0011,775.9639,1.0005,1,56.0601,2
839562,0.0629,3.91,2495.0,0.173,1.098,0.1895,0.2323,167.04,444.33,1.0007,456.7371,1.0005,1,24.7564,1
839597,0.1054,4.8,2399.0,0.142,1.681,0.2754,0.312,81.33,241.35,1.0007,285.61460000000005,1.0005,2,38.2425,2
839724,0.1586,4.84,2533.0,0.2118,1.1313,0.294,0.2161,510.1,1404.3,1.0012,1077.0104,1.0002,1,36.6911,1
839826,0.1085,4.01,2506.0,0.128,1.7,0.13,0.231,92.45,262.251,1.0006,209.4315,1.0005,1,24.5698,1
840047,0.0814,3.35,2450.0,0.2411,1.2919,0.1888,0.1696,141.7,294.69,1.0005,280.73260000000005,1.0005,2,17.6222,2
840217,0.0885,4.3,2404.0,0.1924,1.2292,0.2277,0.2412,395.44,1056.74,1.0002,1170.3915,1.0005,1,35.4952,2
840378,0.0574,3.45,2404.0,0.253,1.2279,0.5635,0.406,196.23,449.36,1.0002,452.1826,1.0003,1,52.5546,2
840534,0.0947,3.95,2521.0,0.205,1.3365,0.203,0.387,128.87,380.57,1.0009,321.2253,1.0005,1,21.9807,2
840572,0.0992,3.47,2696.0,0.165,0.8308,0.1752,0.231,185.54,447.9,1.0004,467.1248,1.0005,1,46.6448,1
840617,0.0477,4.29,2454.0,0.3073,1.8434,0.456,0.3265,390.236,1053.635,1.0012,1189.3453,1.0003,1,37.6747,1
840776,0.0686,4.18,2383.0,0.458,3.1763,0.3572,0.41,153.07,428.59,1.0012,468.6574,1.0004,1,85.7397,2
841151,0.0753,4.62,2393.0,0.223,1.2241,0.1928,0.205,108.09,353.71,1.0009,243.5917,1.0005,1,28.7499,1
841996,0.0597,4.04,2538.0,0.1523,1.133,0.2738,0.1916,253.12,746.29,1.0007,721.5953,1.0005,1,34.5599,2
842292,0.0574,4.55,2640.0,0.1592,0.7954,0.1273,0.1424,231.31,611.7,1.0003,794.2726,1.0005,1,11.8576,1
842525,0.0729,3.88,2352.0,0.1557,1.4324,0.2366,0.231,91.4,235.7,1.0009,260.2971,1.0005,1,22.3383,2
842768,0.0567,4.72,2473.0,0.2266,1.5226,0.2545,0.3402,179.53,618.0,1.0012,600.1033,1.0005,2,55.7647,2
842810,0.1026,4.13,2243.0,0.2038,0.95,0.3575,0.248,178.13,498.77,1.0008,568.5373999999999,1.0005,1,34.2367,2
842849,0.0838,3.78,2530.0,0.462,1.0864,0.3034,0.434,59.6,160.9,1.0012,159.6862,1.0005,2,51.8156,2
842989,0.1181,3.95,2485.0,0.251,1.1752,0.2344,0.2345,1763.611,4698.45,1.0002,3867.6319,1.0005,2,25.2377,1
843251,0.0655,4.33,2237.0,0.206,1.313,0.2261,0.2024,128.698,377.604,1.0012,416.5605,1.0005,2,31.3734,2
843319,0.1069,4.17,2533.0,0.185,1.4238,0.1725,0.198,84.64,228.53,1.0008,237.7481,1.0005,1,23.6834,2
843502,0.0739,5.4,2410.0,0.214,1.331,0.2502,0.168,94.33,330.15,1.0007,222.1241,1.0005,2,33.672,2
843528,0.0551,4.32,2610.0,0.22,1.4413,0.2726,0.2372,122.9,326.4,1.0007,358.2429,1.0005,1,37.7321,2
843570,0.1519,4.19,2609.0,0.235,1.4292,0.2163,0.213,88.36,262.02,1.0002,145.0581,1.0005,2,31.1177,2
843698,0.1225,3.6,2416.0,0.2424,0.9902,0.1697,0.2,140.26,352.39,1.0003,229.7795,1.0005,1,20.0024,1
843794,0.1929,3.84,2420.0,0.264,1.668,0.2289,0.2935,618.18,1669.05,1.0005,843.6421,1.0005,1,15.2803,2
844350,0.0562,4.27,2545.0,0.18,1.4912,0.1719,0.197,151.47,466.18,1.0001,524.7938,1.0005,1,29.5483,2
844750,0.1242,4.26,2228.0,0.1914,1.3571,0.2176,0.2331,1493.83,4019.95,1.0003,2957.9158,1.0005,1,26.092,2
